Beverage_ID,Beverage_Name,Category,Size,Hot_Cold,Ingredients,Milk_Type,Espresso_Shots,Syrup,Toppings,Sweetness_Level,Caffeine_mg,Calories,Sugar_g,Protein_g,Fat_g,Price_USD,Price_INR,Customer_Rating,Number_of_Orders,Popularity,Seasonal,Vegan,Vegetarian,Contains_Dairy,Contains_Nuts,Gluten_Free,Recommended_With,Best_Time,Flavor_Profile,Temperature,Country_Availability
SB00011,Matcha Frappuccino,Frappuccino,Grande,Cold,"A handcrafted Matcha Frappuccino prepared with premium Starbucks-style coffee or tea, soy milk, hazelnut syrup and carefully balanced flavors.",Skim,3,None,None,High,261,429,17,11.0,24.3,5.14,436.9,4.4,18843,Medium,No,Yes,Yes,No,No,Yes,Blueberry Muffin,Evening,Nutty,Cold,USA
SB00012,Classic Flat White,Flat White,Venti,Hot,"A handcrafted Classic Flat White prepared with premium Starbucks-style coffee or tea, soy milk, classic syrup and carefully balanced flavors.",Soy,4,Toffee Nut,Whipped Cream,Medium,180,461,47,14.3,13.6,3.94,334.9,4.9,48814,Very High,Yes,No,Yes,No,No,Yes,Blueberry Muffin,Evening,Bold,Hot,India
SB00013,Mango Macchiato,Macchiato,Tall,Cold,"A handcrafted Mango Macchiato prepared with premium Starbucks-style coffee or tea, soy milk, hazelnut syrup and carefully balanced flavors.",Oat,4,None,None,High,204,305,64,11.0,17.1,5.28,448.8,4.8,46759,Very High,No,Yes,Yes,No,No,No,Croissant,Evening,Bold,Cold,Japan
SB00014,Matcha Refresher,Refresher,Venti,Cold,"A handcrafted Matcha Refresher prepared with premium Starbucks-style coffee or tea, soy milk, vanilla syrup and carefully balanced flavors.",Soy,3,None,None,Low,112,398,42,10.4,24.0,5.54,470.9,3.9,30218,High,No,No,Yes,Yes,Yes,Yes,Cookie,Evening,Sweet,Cold,India
SB00015,Hazelnut Tea,Tea,Grande,Hot,"A handcrafted Hazelnut Tea prepared with premium Starbucks-style coffee or tea, almond milk, none syrup and carefully balanced flavors.",Soy,0,Vanilla,None,High,217,352,20,10.1,27.9,5.28,448.8,4.7,20543,Medium,No,No,Yes,No,Yes,No,Sandwich,Afternoon,Bold,Hot,USA
SB00016,Classic Refresher,Refresher,Tall,Cold,"A handcrafted Classic Refresher prepared with premium Starbucks-style coffee or tea, coconut milk, toffee nut syrup and carefully balanced flavors.",Oat,1,Toffee Nut,Chocolate Shavings,High,155,147,53,4.2,14.4,7.11,604.35,3.7,22387,Medium,Yes,Yes,Yes,Yes,Yes,No,Sandwich,Evening,Bold,Cold,India
SB00017,Hazelnut Espresso,Espresso,Tall,Hot,"A handcrafted Hazelnut Espresso prepared with premium Starbucks-style coffee or tea, coconut milk, none syrup and carefully balanced flavors.",Coconut,3,None,None,High,199,461,15,4.2,12.8,7.03,597.55,4.2,28313,High,No,Yes,Yes,No,No,No,Cookie,Morning,Creamy,Hot,UK
SB00018,Mocha Americano,Americano,Tall,Hot,"A handcrafted Mocha Americano prepared with premium Starbucks-style coffee or tea, soy milk, none syrup and carefully balanced flavors.",Coconut,4,None,Caramel Drizzle,Low,276,341,26,19.8,27.9,3.67,311.95,4.5,15725,Medium,No,Yes,Yes,Yes,Yes,No,Cookie,Morning,Bold,Hot,Global
SB00019,Vanilla Cappuccino,Cappuccino,Venti,Hot,"A handcrafted Vanilla Cappuccino prepared with premium Starbucks-style coffee or tea, coconut milk, classic syrup and carefully balanced flavors.",Almond,4,Caramel,Whipped Cream,Medium,110,157,35,14.9,12.0,2.85,242.25,4.4,41164,Very High,No,Yes,Yes,Yes,No,Yes,Cookie,Morning,Fruity,Hot,UK
SB00020,Strawberry Cappuccino,Cappuccino,Grande,Hot,"A handcrafted Strawberry Cappuccino prepared with premium Starbucks-style coffee or tea, whole milk, none syrup and carefully balanced flavors.",Whole,4,Hazelnut,Caramel Drizzle,High,295,255,11,3.6,9.7,3.9,331.5,4.8,35176,High,No,No,Yes,No,No,No,Cheesecake,Morning,Fruity,Hot,USA
SB00021,Mocha Cold Brew,Cold Brew,Venti,Cold,"A handcrafted Mocha Cold Brew prepared with premium Starbucks-style coffee or tea, coconut milk, caramel syrup and carefully balanced flavors.",Soy,1,Caramel,None,Medium,110,89,33,19.7,25.1,7.76,659.6,3.9,5278,Low,No,No,Yes,No,Yes,Yes,Croissant,Afternoon,Bold,Cold,India
SB00022,Classic Tea,Tea,Grande,Cold,"A handcrafted Classic Tea prepared with premium Starbucks-style coffee or tea, skim milk, toffee nut syrup and carefully balanced flavors.",Skim,3,Hazelnut,Chocolate Shavings,Medium,215,130,41,1.0,6.9,4.48,380.8,3.7,27388,High,Yes,Yes,Yes,No,No,No,Blueberry Muffin,Evening,Bold,Cold,Canada
SB00023,Mango Frappuccino,Frappuccino,Tall,Cold,"A handcrafted Mango Frappuccino prepared with premium Starbucks-style coffee or tea, coconut milk, none syrup and carefully balanced flavors.",Skim,4,Classic,None,High,44,269,14,9.0,26.8,6.1,518.5,3.5,16621,Medium,Yes,Yes,Yes,No,Yes,Yes,Cookie,Afternoon,Bold,Cold,UK
SB00024,White Mocha Mocha,Mocha,Venti,Hot,"A handcrafted White Mocha Mocha prepared with premium Starbucks-style coffee or tea, whole milk, hazelnut syrup and carefully balanced flavors.",Soy,4,Vanilla,Chocolate Shavings,Low,141,397,0,17.0,5.8,4.43,376.55,3.7,29232,High,Yes,Yes,Yes,Yes,Yes,Yes,Croissant,Morning,Nutty,Hot,Japan
SB00025,Mocha Flat White,Flat White,Venti,Hot,"A handcrafted Mocha Flat White prepared with premium Starbucks-style coffee or tea, whole milk, classic syrup and carefully balanced flavors.",Oat,0,Classic,Caramel Drizzle,Low,284,591,68,10.7,28.8,4.76,404.6,5.0,30950,High,No,Yes,Yes,No,Yes,No,Cookie,Afternoon,Fruity,Hot,Global
SB00026,Java Chip Refresher,Refresher,Tall,Cold,"A handcrafted Java Chip Refresher prepared with premium Starbucks-style coffee or tea, skim milk, hazelnut syrup and carefully balanced flavors.",Whole,4,Classic,Whipped Cream,High,201,124,20,19.4,27.6,3.11,264.35,4.8,37430,High,No,No,Yes,Yes,Yes,No,Sandwich,Afternoon,Bold,Cold,UK
SB00027,Classic Espresso,Espresso,Tall,Hot,"A handcrafted Classic Espresso prepared with premium Starbucks-style coffee or tea, skim milk, vanilla syrup and carefully balanced flavors.",Skim,2,Classic,Chocolate Shavings,High,236,572,68,14.9,1.2,7.56,642.6,3.7,43015,Very High,Yes,Yes,Yes,Yes,No,No,Cookie,Evening,Fruity,Hot,Canada
SB00028,Vanilla Espresso,Espresso,Venti,Hot,"A handcrafted Vanilla Espresso prepared with premium Starbucks-style coffee or tea, soy milk, vanilla syrup and carefully balanced flavors.",Almond,1,Vanilla,None,Low,279,510,46,14.4,5.0,7.48,635.8,4.3,839,Low,No,No,Yes,Yes,No,No,Sandwich,Evening,Chocolatey,Hot,Japan
SB00029,Strawberry Espresso,Espresso,Tall,Hot,"A handcrafted Strawberry Espresso prepared with premium Starbucks-style coffee or tea, almond milk, caramel syrup and carefully balanced flavors.",Soy,1,Vanilla,Whipped Cream,High,236,277,39,6.4,26.7,2.75,233.75,4.9,32973,High,Yes,No,Yes,No,No,Yes,Cheesecake,Afternoon,Nutty,Hot,India
SB00030,Classic Espresso,Espresso,Venti,Cold,"A handcrafted Classic Espresso prepared with premium Starbucks-style coffee or tea, coconut milk, caramel syrup and carefully balanced flavors.",Soy,4,Toffee Nut,None,Low,158,314,27,14.3,4.3,4.13,351.05,3.7,15303,Medium,Yes,No,Yes,Yes,No,Yes,Sandwich,Evening,Chocolatey,Cold,India
SB00031,Mango Flat White,Flat White,Tall,Cold,"A handcrafted Mango Flat White prepared with premium Starbucks-style coffee or tea, whole milk, hazelnut syrup and carefully balanced flavors.",Soy,4,Hazelnut,Whipped Cream,Low,156,163,23,7.6,0.5,4.75,403.75,4.4,5737,Low,Yes,Yes,Yes,Yes,Yes,No,Sandwich,Evening,Fruity,Cold,India
SB00032,White Mocha Macchiato,Macchiato,Tall,Hot,"A handcrafted White Mocha Macchiato prepared with premium Starbucks-style coffee or tea, soy milk, classic syrup and carefully balanced flavors.",Coconut,2,Hazelnut,Whipped Cream,Low,10,418,5,15.4,18.5,3.87,328.95,3.8,15391,Medium,Yes,Yes,Yes,Yes,Yes,Yes,Cheesecake,Evening,Bold,Hot,UK
SB00033,Chai Cappuccino,Cappuccino,Tall,Cold,"A handcrafted Chai Cappuccino prepared with premium Starbucks-style coffee or tea, soy milk, none syrup and carefully balanced flavors.",Almond,3,Vanilla,None,High,12,240,33,16.8,18.1,5.62,477.7,3.8,16056,Medium,No,Yes,Yes,No,No,Yes,Cheesecake,Evening,Sweet,Cold,UK
SB00034,Caramel Macchiato,Macchiato,Venti,Hot,"A handcrafted Caramel Macchiato prepared with premium Starbucks-style coffee or tea, coconut milk, hazelnut syrup and carefully balanced flavors.",Soy,2,Toffee Nut,None,Medium,245,132,44,4.1,25.8,4.75,403.75,4.7,30880,High,No,Yes,Yes,Yes,Yes,No,Sandwich,Evening,Nutty,Hot,Canada
SB00035,Matcha Flat White,Flat White,Grande,Cold,"A handcrafted Matcha Flat White prepared with premium Starbucks-style coffee or tea, whole milk, classic syrup and carefully balanced flavors.",Skim,0,None,None,Low,193,282,0,9.6,24.9,5.53,470.05,4.4,45200,Very High,No,Yes,Yes,No,Yes,No,Cookie,Morning,Nutty,Cold,India
SB00036,Matcha Cappuccino,Cappuccino,Venti,Hot,"A handcrafted Matcha Cappuccino prepared with premium Starbucks-style coffee or tea, almond milk, classic syrup and carefully balanced flavors.",Almond,1,Caramel,Caramel Drizzle,Low,70,47,28,4.0,8.4,4.89,415.65,4.9,23182,Medium,No,Yes,Yes,No,No,No,Cookie,Evening,Creamy,Hot,Canada
SB00037,Strawberry Frappuccino,Frappuccino,Grande,Cold,"A handcrafted Strawberry Frappuccino prepared with premium Starbucks-style coffee or tea, whole milk, classic syrup and carefully balanced flavors.",Soy,4,None,Chocolate Shavings,Low,95,144,61,14.3,20.2,3.28,278.8,4.1,18649,Medium,No,No,Yes,No,No,No,Cheesecake,Morning,Bold,Cold,Global
SB00038,Caramel Flat White,Flat White,Venti,Cold,"A handcrafted Caramel Flat White prepared with premium Starbucks-style coffee or tea, soy milk, classic syrup and carefully balanced flavors.",Soy,2,Hazelnut,Whipped Cream,High,8,563,47,2.8,6.5,2.58,219.3,4.2,7510,Low,Yes,Yes,Yes,No,Yes,No,Cookie,Morning,Creamy,Cold,India
SB00039,Chai Cappuccino,Cappuccino,Tall,Cold,"A handcrafted Chai Cappuccino prepared with premium Starbucks-style coffee or tea, almond milk, toffee nut syrup and carefully balanced flavors.",Skim,0,Toffee Nut,None,Low,106,369,56,11.3,20.1,4.58,389.3,3.8,13621,Medium,Yes,No,Yes,No,No,Yes,Cheesecake,Morning,Fruity,Cold,Canada
SB00040,Mocha Espresso,Espresso,Venti,Cold,"A handcrafted Mocha Espresso prepared with premium Starbucks-style coffee or tea, almond milk, toffee nut syrup and carefully balanced flavors.",Almond,3,Hazelnut,Whipped Cream,Medium,92,316,57,4.8,4.2,7.74,657.9,3.9,16788,Medium,Yes,No,Yes,Yes,Yes,No,Croissant,Morning,Bold,Cold,Global
SB00041,Matcha Refresher,Refresher,Grande,Cold,"A handcrafted Matcha Refresher prepared with premium Starbucks-style coffee or tea, almond milk, toffee nut syrup and carefully balanced flavors.",Whole,0,Hazelnut,Caramel Drizzle,High,74,60,23,18.9,22.1,6.71,570.35,4.8,21149,Medium,Yes,Yes,Yes,No,No,Yes,Croissant,Morning,Nutty,Cold,USA
SB00042,Classic Frappuccino,Frappuccino,Grande,Cold,"A handcrafted Classic Frappuccino prepared with premium Starbucks-style coffee or tea, whole milk, vanilla syrup and carefully balanced flavors.",Oat,1,Hazelnut,Chocolate Shavings,Medium,289,334,41,5.1,20.3,6.4,544.0,3.7,9944,Low,No,No,Yes,No,No,No,Cookie,Evening,Creamy,Cold,USA
SB00043,Mango Cappuccino,Cappuccino,Grande,Hot,"A handcrafted Mango Cappuccino prepared with premium Starbucks-style coffee or tea, whole milk, none syrup and carefully balanced flavors.",Skim,3,Caramel,None,Low,137,71,47,3.2,19.3,3.81,323.85,4.6,7502,Low,Yes,No,Yes,Yes,Yes,No,Blueberry Muffin,Afternoon,Nutty,Hot,Japan
SB00044,Mango Flat White,Flat White,Grande,Hot,"A handcrafted Mango Flat White prepared with premium Starbucks-style coffee or tea, soy milk, toffee nut syrup and carefully balanced flavors.",Almond,4,Hazelnut,None,Low,64,536,55,5.5,10.4,4.08,346.8,3.8,4564,Low,Yes,Yes,Yes,No,No,No,Croissant,Evening,Bold,Hot,Canada
SB00045,Vanilla Flat White,Flat White,Tall,Hot,"A handcrafted Vanilla Flat White prepared with premium Starbucks-style coffee or tea, whole milk, classic syrup and carefully balanced flavors.",Oat,1,None,Whipped Cream,Medium,84,267,70,1.8,15.2,5.06,430.1,3.7,38544,High,Yes,Yes,Yes,No,No,Yes,Cookie,Morning,Chocolatey,Hot,Japan
SB00046,Mocha Refresher,Refresher,Tall,Cold,"A handcrafted Mocha Refresher prepared with premium Starbucks-style coffee or tea, skim milk, caramel syrup and carefully balanced flavors.",Almond,3,Hazelnut,Whipped Cream,High,225,200,58,10.9,9.4,6.38,542.3,4.1,21443,Medium,Yes,Yes,Yes,No,Yes,Yes,Cheesecake,Morning,Nutty,Cold,Global
SB00047,Mango Cold Brew,Cold Brew,Venti,Cold,"A handcrafted Mango Cold Brew prepared with premium Starbucks-style coffee or tea, skim milk, vanilla syrup and carefully balanced flavors.",Almond,1,Classic,Whipped Cream,Medium,146,261,44,2.1,28.0,5.09,432.65,4.1,9417,Low,No,No,Yes,Yes,Yes,Yes,Croissant,Evening,Nutty,Cold,UK
SB00048,Matcha Americano,Americano,Tall,Cold,"A handcrafted Matcha Americano prepared with premium Starbucks-style coffee or tea, oat milk, classic syrup and carefully balanced flavors.",Almond,1,None,Chocolate Shavings,High,103,101,59,9.9,16.9,3.04,258.4,4.8,2427,Low,Yes,Yes,Yes,Yes,No,Yes,Cheesecake,Afternoon,Sweet,Cold,USA
SB00049,Matcha Americano,Americano,Grande,Cold,"A handcrafted Matcha Americano prepared with premium Starbucks-style coffee or tea, almond milk, hazelnut syrup and carefully balanced flavors.",Oat,0,Hazelnut,Caramel Drizzle,Low,167,143,42,8.3,5.5,6.39,543.15,4.3,29920,High,Yes,No,Yes,No,No,Yes,Croissant,Morning,Chocolatey,Cold,UK
SB00050,Matcha Tea,Tea,Grande,Hot,"A handcrafted Matcha Tea prepared with premium Starbucks-style coffee or tea, oat milk, classic syrup and carefully balanced flavors.",Coconut,1,Hazelnut,Whipped Cream,High,293,197,4,13.5,18.4,4.86,413.1,4.4,44326,Very High,Yes,No,Yes,Yes,No,No,Cheesecake,Afternoon,Fruity,Hot,Global
SB00051,Java Chip Macchiato,Macchiato,Venti,Cold,"A handcrafted Java Chip Macchiato prepared with premium Starbucks-style coffee or tea, almond milk, none syrup and carefully balanced flavors.",Skim,3,Vanilla,Whipped Cream,Low,169,391,69,19.8,17.4,6.84,581.4,4.1,47332,Very High,Yes,No,Yes,Yes,Yes,Yes,Cookie,Afternoon,Nutty,Cold,India
SB00052,Chai Mocha,Mocha,Tall,Hot,"A handcrafted Chai Mocha prepared with premium Starbucks-style coffee or tea, skim milk, toffee nut syrup and carefully balanced flavors.",Almond,3,Hazelnut,Chocolate Shavings,Medium,243,502,61,6.8,19.0,5.2,442.0,4.7,23247,Medium,No,No,Yes,No,Yes,Yes,Cookie,Afternoon,Chocolatey,Hot,USA
SB00053,Matcha Mocha,Mocha,Grande,Hot,"A handcrafted Matcha Mocha prepared with premium Starbucks-style coffee or tea, soy milk, toffee nut syrup and carefully balanced flavors.",Soy,3,Hazelnut,Whipped Cream,Medium,231,427,21,8.0,28.8,3.74,317.9,3.6,22944,Medium,No,Yes,Yes,Yes,No,No,Cookie,Evening,Sweet,Hot,India
SB00054,Vanilla Macchiato,Macchiato,Tall,Hot,"A handcrafted Vanilla Macchiato prepared with premium Starbucks-style coffee or tea, soy milk, none syrup and carefully balanced flavors.",Soy,0,None,Chocolate Shavings,High,274,116,43,6.9,20.8,4.63,393.55,4.3,10397,Medium,No,Yes,Yes,No,No,No,Croissant,Evening,Nutty,Hot,Canada
SB00055,Caramel Cappuccino,Cappuccino,Grande,Hot,"A handcrafted Caramel Cappuccino prepared with premium Starbucks-style coffee or tea, oat milk, none syrup and carefully balanced flavors.",Soy,0,None,Chocolate Shavings,Medium,232,194,30,16.0,14.9,3.81,323.85,4.0,38684,High,No,No,Yes,Yes,No,No,Cookie,Afternoon,Chocolatey,Hot,USA
SB00056,Classic Refresher,Refresher,Tall,Cold,"A handcrafted Classic Refresher prepared with premium Starbucks-style coffee or tea, coconut milk, hazelnut syrup and carefully balanced flavors.",Almond,1,Toffee Nut,Whipped Cream,Low,77,521,70,9.7,4.1,4.5,382.5,3.7,19525,Medium,Yes,Yes,Yes,No,No,Yes,Blueberry Muffin,Morning,Nutty,Cold,Canada
SB00057,Hazelnut Espresso,Espresso,Tall,Hot,"A handcrafted Hazelnut Espresso prepared with premium Starbucks-style coffee or tea, almond milk, none syrup and carefully balanced flavors.",Whole,1,Hazelnut,Whipped Cream,High,204,235,45,5.5,6.2,4.12,350.2,3.7,45983,Very High,No,Yes,Yes,No,Yes,Yes,Croissant,Afternoon,Sweet,Hot,Global
SB00058,Strawberry Americano,Americano,Tall,Hot,"A handcrafted Strawberry Americano prepared with premium Starbucks-style coffee or tea, oat milk, toffee nut syrup and carefully balanced flavors.",Soy,0,Caramel,Caramel Drizzle,High,157,469,32,8.1,19.2,7.71,655.35,4.9,12509,Medium,No,No,Yes,No,No,Yes,Cheesecake,Morning,Fruity,Hot,Global
SB00059,Chai Espresso,Espresso,Tall,Hot,"A handcrafted Chai Espresso prepared with premium Starbucks-style coffee or tea, whole milk, vanilla syrup and carefully balanced flavors.",Coconut,1,Caramel,Caramel Drizzle,Medium,168,195,33,2.5,21.8,4.25,361.25,4.6,18070,Medium,Yes,Yes,Yes,Yes,No,Yes,Blueberry Muffin,Evening,Creamy,Hot,Global
SB00060,Mocha Refresher,Refresher,Tall,Cold,"A handcrafted Mocha Refresher prepared with premium Starbucks-style coffee or tea, soy milk, vanilla syrup and carefully balanced flavors.",Soy,2,Hazelnut,None,Low,51,518,0,16.9,3.7,7.1,603.5,3.6,49032,Very High,Yes,No,Yes,No,Yes,Yes,Cheesecake,Evening,Bold,Cold,Canada
SB00061,Java Chip Macchiato,Macchiato,Venti,Cold,"A handcrafted Java Chip Macchiato prepared with premium Starbucks-style coffee or tea, soy milk, toffee nut syrup and carefully balanced flavors.",Whole,3,Vanilla,None,Low,137,313,22,3.8,25.1,5.1,433.5,4.1,35957,High,Yes,Yes,Yes,Yes,No,No,Cheesecake,Morning,Bold,Cold,USA
SB00062,Caramel Cappuccino,Cappuccino,Grande,Cold,"A handcrafted Caramel Cappuccino prepared with premium Starbucks-style coffee or tea, whole milk, hazelnut syrup and carefully balanced flavors.",Oat,3,Classic,None,Low,217,383,10,11.9,3.0,4.85,412.25,4.6,26245,High,No,Yes,Yes,Yes,Yes,No,Cheesecake,Morning,Bold,Cold,Japan
SB00063,Classic Flat White,Flat White,Grande,Hot,"A handcrafted Classic Flat White prepared with premium Starbucks-style coffee or tea, almond milk, none syrup and carefully balanced flavors.",Whole,3,Hazelnut,Caramel Drizzle,Low,28,180,2,10.6,22.6,5.05,429.25,4.9,44210,Very High,Yes,No,Yes,No,Yes,Yes,Cookie,Afternoon,Chocolatey,Hot,Japan
SB00064,Java Chip Flat White,Flat White,Grande,Hot,"A handcrafted Java Chip Flat White prepared with premium Starbucks-style coffee or tea, oat milk, toffee nut syrup and carefully balanced flavors.",Oat,1,Toffee Nut,Chocolate Shavings,Medium,188,458,50,11.9,23.6,6.27,532.95,3.7,6683,Low,Yes,No,Yes,No,Yes,No,Cheesecake,Morning,Nutty,Hot,Global
SB00065,Strawberry Cappuccino,Cappuccino,Grande,Cold,"A handcrafted Strawberry Cappuccino prepared with premium Starbucks-style coffee or tea, almond milk, toffee nut syrup and carefully balanced flavors.",Coconut,4,None,Whipped Cream,Medium,146,156,62,4.2,1.1,5.32,452.2,3.5,10493,Medium,Yes,No,Yes,No,No,Yes,Croissant,Morning,Bold,Cold,USA
SB00066,Vanilla Americano,Americano,Grande,Hot,"A handcrafted Vanilla Americano prepared with premium Starbucks-style coffee or tea, almond milk, hazelnut syrup and carefully balanced flavors.",Whole,1,Vanilla,Whipped Cream,Low,208,211,54,16.2,18.4,7.87,668.95,4.9,46555,Very High,No,Yes,Yes,Yes,Yes,Yes,Sandwich,Morning,Fruity,Hot,Japan
SB00067,Vanilla Cold Brew,Cold Brew,Grande,Cold,"A handcrafted Vanilla Cold Brew prepared with premium Starbucks-style coffee or tea, skim milk, toffee nut syrup and carefully balanced flavors.",Oat,2,Classic,Whipped Cream,High,120,175,12,6.6,28.7,7.1,603.5,4.4,46103,Very High,No,Yes,Yes,No,No,No,Cookie,Morning,Chocolatey,Cold,India
SB00068,Java Chip Cappuccino,Cappuccino,Venti,Hot,"A handcrafted Java Chip Cappuccino prepared with premium Starbucks-style coffee or tea, skim milk, toffee nut syrup and carefully balanced flavors.",Skim,4,None,Whipped Cream,Medium,124,67,36,16.4,1.7,8.11,689.35,4.4,26249,High,Yes,Yes,Yes,No,Yes,Yes,Croissant,Morning,Nutty,Hot,Canada
SB00069,Classic Latte,Latte,Grande,Hot,"A handcrafted Classic Latte prepared with premium Starbucks-style coffee or tea, soy milk, classic syrup and carefully balanced flavors.",Almond,2,Caramel,Chocolate Shavings,Medium,87,431,16,5.6,17.4,2.97,252.45,3.6,35787,High,No,No,Yes,Yes,Yes,Yes,Cookie,Morning,Bold,Hot,India
SB00070,Java Chip Macchiato,Macchiato,Venti,Cold,"A handcrafted Java Chip Macchiato prepared with premium Starbucks-style coffee or tea, coconut milk, vanilla syrup and carefully balanced flavors.",Oat,1,Vanilla,None,Low,127,186,27,6.6,5.4,2.75,233.75,4.2,26128,High,Yes,No,Yes,No,No,Yes,Blueberry Muffin,Morning,Creamy,Cold,UK
SB00071,Hazelnut Cappuccino,Cappuccino,Tall,Cold,"A handcrafted Hazelnut Cappuccino prepared with premium Starbucks-style coffee or tea, soy milk, hazelnut syrup and carefully balanced flavors.",Whole,3,Caramel,None,Low,221,194,11,12.4,5.1,2.98,253.3,3.5,34962,High,No,No,Yes,Yes,Yes,Yes,Cookie,Afternoon,Chocolatey,Cold,Canada
SB00072,Mocha Cappuccino,Cappuccino,Tall,Hot,"A handcrafted Mocha Cappuccino prepared with premium Starbucks-style coffee or tea, coconut milk, caramel syrup and carefully balanced flavors.",Oat,1,Caramel,Caramel Drizzle,Low,140,399,39,16.1,17.1,4.42,375.7,4.6,1170,Low,No,Yes,Yes,Yes,No,Yes,Croissant,Evening,Fruity,Hot,Japan
SB00073,Strawberry Mocha,Mocha,Venti,Cold,"A handcrafted Strawberry Mocha prepared with premium Starbucks-style coffee or tea, almond milk, vanilla syrup and carefully balanced flavors.",Oat,1,None,Whipped Cream,Low,262,49,17,4.1,21.9,6.07,515.95,3.8,27684,High,No,Yes,Yes,No,No,Yes,Cheesecake,Afternoon,Fruity,Cold,USA
SB00074,Matcha Americano,Americano,Grande,Hot,"A handcrafted Matcha Americano prepared with premium Starbucks-style coffee or tea, coconut milk, none syrup and carefully balanced flavors.",Skim,3,Vanilla,None,High,156,401,19,2.3,18.2,8.0,680.0,4.3,37933,High,Yes,Yes,Yes,No,Yes,No,Sandwich,Evening,Chocolatey,Hot,Canada
